observation,species,exchange_num,clip_type,start_flight,start_timestamp,end_flight,end_timestamp,group_behavior
ob025,pz,ob025-1,exchange,1,15:40,2,5:03,0.0
ob029,imp,ob029-1,exchange,1,14:03,2,4:09,1.0
ob031,imp,ob031-1,exchange,1,18:24,2,3:09,1.0
ob033,pz,ob033-1,exchange,1,12:54,2,3:53,0.0
ob039,imp,ob039-1,exchange,1,11:26,2,5:10,0.0
ob039,imp,ob039-2,exchange,2,13:50,3,5:45,0.0
ob041,buf,ob041-1,exchange,1,15:54,2,3:49,1.0
ob041,buf,ob041-2,exchange,2,15:51,3,4:32,1.0
ob042,imp,ob042-1,exchange,1,18:09,2,3:06,0.0
ob047,pz,ob047-1,exchange,1,16:25,2,4:29,0.0
ob049,pz,ob049-1,exchange,1,15:56,2,5:30,0.0
ob050,imp,ob050-1,exchange,1,15:57,2,5:29,0.0
ob050,imp,ob050-2,exchange,2,15:23,3,4:48,0.0
ob051,imp,ob051-1,exchange,1,13:58,2,5:35,3.0
ob053,gz,ob053-1,exchange,1,19:16,2,3:29,0.0
ob055,imp,ob055-1,exchange,1,19:32,2,3:52,0.0
ob056,imp,ob056-1,exchange,1,17:06,2,4:25,0.0
ob058,imp,ob058-1,exchange,1,17:06,2,4:25,0.0
ob059,imp,ob059-1,exchange,1,16:57,2,3:30,1.0
ob061,gz,ob061-2,exchange,2,13:07,3,3:57,0.0
ob063,imp,ob063-1,exchange,1,17:03,2,4:45,0.0
ob063,imp,ob063-2,exchange,2,17:00,3,3:51,0.0
ob064,imp,ob064-2,exchange,2,12:37,3,5:02,0.0
ob065,imp,ob065-2,exchange,2,12:49,3,4:31,0.0
ob066,gz,ob066-1,exchange,1,15:52,2,4:33,0.0
ob068,imp,ob068-1,exchange,1,16:05,2,3:57,0.0
ob068,imp,ob068-2,exchange,2,15:27,3,5:22,0.0
ob070,pz,ob070-2,exchange,2,11:49,3,5:03,0.0
ob071,imp,ob071-1,exchange,1,18:23,2,3:03,0.0
ob074,gz,ob074-1,exchange,1,14:10,2,4:36,0.0
ob074,gz,ob074-2,exchange,2,16:44,3,4:12,0.0
ob075,imp,ob075-1,exchange,1,16:49,2,3:43,0.0
ob079,buf,ob079-1,exchange,1,13:56,2,4:23,2.0
ob081,pz,ob081-1,exchange,1,17:52,2,3:57,2.0
ob081,pz,ob081-2,exchange,2,17:41,3,5:32,0.0
ob083,gz,ob083-1,exchange,1,15:10,2,4:34,0.0
ob085,buf,ob085-1,exchange,1,18:39,2,4:37,0.0
