observation,site,date,flight,species,group_size_spp,group_size_total,young_present,group_behavior,obs_ascent,launch_dist,approach_speed_mean,approach_speed_max,approach_duration_minutes,exchange_duration,takeoff_time,landing_time,clip_start_ascent_adj,bushiness_100m,max_windspeed,mean_windspeed,temperature_c,wind_speed_ms,cloud_cover_%,humidity_%,group_downwind,other_spp
ob002,opc,11/2/17,002-01,buf,14.0,14.0,False,1.0,88.3000028256,408.5732467272283,14.229841186490471,37.421969018742,1.92,,04:58:29,05:21:09,86.3000028256,,12.47,11.208333333333334,17,0.8,0,81,False,False
ob003,opc,11/2/17,003-01,pz,21.0,26.0,True,3.0,86.500002768,214.37721471584956,19.65450013449425,46.3391616362912,0.8591666666666666,,05:24:49,05:47:05,84.500002768,,12.7,10.10875,17.5,1.1,73,79,False,True
ob005,opc,11/2/17,005-01,buf,113.0,113.0,True,2.0,80.9000025888,482.3283776696359,22.00152551140215,45.6731621876652,1.7716666666666667,,06:29:59,06:48:50,81.9000025888,,15.06,13.3825,19.1,3,73,71,False,False
ob008,opc,11/3/17,008-01,pz,10.0,24.0,True,0.0,85.4000027328,265.8837356917176,21.475641908735955,42.7967645690048,0.7644444444444445,,04:40:25,05:00:26,89.4000027328,,8.39,6.861739130434782,17.1,2,0,85,False,True
ob009,opc,11/3/17,009-01,imp,1.0,14.0,False,0.0,88.50000283199999,315.9647166241711,18.27079444317776,43.1711642590432,1.0708333333333333,,05:09:16,05:32:08,89.50000283199999,,10.26,9.6535,17.7,1.9,65,82,False,True
ob012,opc,11/3/17,012-01,buf,34.0,34.0,True,1.0,100.1000032032,365.1474851580603,11.84020834829988,30.761974532482,1.985,,06:45:31,07:06:23,105.1000032032,,9.05,7.65875,18.9,1.9,65,76,False,False
ob013,mpala,11/6/17,013-01,imp,28.0,29.0,False,0.0,85.4000027328,156.93976042059177,7.1500188140494485,38.0447685031328,2.3675,,07:36:31,07:55:11,82.4000027328,0.2386042001445773,4.14,3.165,20.1,2.1,0,69,False,True
ob014,mpala,11/6/17,014-01,imp,27.0,27.0,True,1.0,85.9000027488,232.5059651715373,6.379266904958631,17.6723853692164,2.625833333333333,,08:09:18,08:28:23,82.9000027488,0.0753426032389593,4.63,3.6675,20.6,2.6,0,67,True,False
ob015,mpala,11/6/17,015-01,gz,10.0,12.0,False,2.0,89.20000285440001,331.0464668324625,16.550535151000638,35.945970240706,1.99,,08:56:50,09:15:19,103.2000028544,0.0760026419173272,3.02,2.29,21.4,3.9,0,63,False,True
ob015,mpala,11/6/17,015-01,pz,2.0,12.0,False,0.0,89.20000285440001,331.0464668324625,16.550535151000638,35.945970240706,1.99,,08:56:50,09:15:19,103.2000028544,0.0760026419173272,3.02,2.29,21.4,3.9,0,63,False,True
ob016,mpala,11/6/17,016-01,gz,3.0,38.0,True,0.0,85.500002736,216.47925505284127,12.088980936031293,43.4231640504152,1.3061111111111112,,12:56:18,13:15:48,103.500002736,0.2577493768088068,8.09,7.330454545454544,22.4,3.7,79,54,True,True
ob016,mpala,11/6/17,016-01,imp,35.0,38.0,True,0.0,85.500002736,216.47925505284127,12.088980936031293,43.4231640504152,1.3061111111111112,,12:56:18,13:15:48,103.500002736,0.2577493768088068,8.09,7.330454545454544,22.4,3.7,79,54,True,True
ob018,mpala,11/7/17,018-01,imp,24.0,24.0,True,0.0,75.8000024256,198.3844145835264,15.929837140081482,42.5735647537896,0.7633333333333333,,06:34:37,06:55:39,81.8000024256,0.0586560139383864,1.51,0.74125,18.4,2.8,79,83,False,False
ob019,mpala,11/7/17,019-01,pz,40.0,41.0,True,3.0,86.60000277120001,217.941264612142,14.95942281524981,47.951960301072,5.2125,,07:05:18,07:27:36,89.60000277120001,0.0155514240587363,6.05,4.72,19.2,3.8,0,77,False,True
ob020,mpala,11/7/17,020-01,buf,,,,,,,,,,,,,,,,,19.7,4,0,74,False,False
ob021,mpala,11/7/17,021-01,imp,29.0,29.0,False,0.0,75.8000024256,450.2507273099915,14.596289214585632,33.1595725475356,2.341666666666667,,08:30:47,08:51:24,84.8000024256,0.2043071836053024,5.91,4.842999999999999,20.8,4.2,0,67,False,False
ob024,mpala,11/7/17,024-01,imp,10.0,16.0,False,0.0,74.6000023872,503.63459449272807,21.66806737591824,28.4615764369576,1.455,,13:20:19,13:38:23,86.6000023872,,10.22,9.325263157894735,22.2,2.5,0,60,True,True
ob025,mpala,11/8/17,025-01,pz,36.0,41.0,True,1.0,85.4000027328,418.4256041789876,14.30290824216263,35.1431709053352,2.4683333333333333,,05:47:21,06:07:47,82.4000027328,0.0046048924847707,5.13,4.399375,18,2.2,75,84,True,True
ob026,mpala,11/8/17,026-01,imp,24.0,24.0,True,1.0,74.50000238400001,191.44579980953344,14.12901355190642,42.5771647508092,1.01,,06:54:22,07:14:04,66.50000238400001,0.0714856237771972,5.46,3.5941666666666663,19.5,4.1,75,77,False,False
ob027,mpala,11/8/17,027-01,gz,7.0,7.0,True,3.0,75.500002416,303.5662144786533,28.318757657557985,43.6211638864932,0.6375,,08:00:55,08:13:28,96.500002416,0.2474003724937354,6.58,5.587058823529412,20.8,6.2,0,69,True,False
ob028,mpala,11/8/17,028-01,gz,6.0,6.0,True,1.0,78.70000251840001,294.71307030351227,14.06588971134674,33.7715720408676,1.3758333333333332,,08:25:34,08:35:21,93.7000025184,0.0822202472374517,7.34,6.773333333333333,21.2,5.9,0,67,False,False
ob029,mpala,11/8/17,029-01,imp,58.0,58.0,True,1.0,75.90000242880001,271.9182849995392,15.910451692767788,36.007170190039204,1.1241666666666668,,12:33:15,12:52:55,62.90000242880001,0.01194320825167,11.18,10.047826086956524,22.6,5.1,63,60,False,False
ob030,mpala,11/10/17,030-01,imp,7.0,7.0,False,0.0,75.60000241920001,240.7332213086476,18.409971293230168,41.0975659757536,1.695,,06:12:26,06:34:29,71.60000241920001,0.2334309400413514,8.47,6.470416666666666,17.6,2.5,73,88,False,False
ob031-032,mpala,11/10/17,031-032-01,imp,5.0,5.0,False,1.0,74.9000023968,215.7894530445886,11.96325752618572,29.9627751941308,3.111111111111111,,07:15:53,07:37:13,69.9000023968,0.12856373198971,6.53,5.675294117647058,17.9,4.9,0,86,False,False
ob033,mpala,11/10/17,033-01,pz,27.0,27.0,True,1.0,85.1000027232,340.1478196525287,17.93683097071808,46.4003615856244,1.6391666666666669,,08:25:18,08:41:46,84.1000027232,0.0191071857992068,6.69,6.130000000000001,19.8,5,0,79,False,False
ob034,mpala,11/10/17,034-01,imp,4.0,18.0,False,,74.20000237440001,463.4766789948191,14.37530516447179,46.7531612935452,2.415,,12:32:24,12:55:06,97.2000023744,0.0246709539155179,8.31,6.812857142857143,21.8,5.3,63,61,True,True
ob034,mpala,11/10/17,034-01,pz,14.0,18.0,True,2.0,74.20000237440001,463.4766789948191,14.37530516447179,46.7531612935452,2.415,,12:32:24,12:55:06,97.2000023744,0.0246709539155179,8.31,6.812857142857143,21.8,5.3,63,61,True,True
ob035,mpala,11/10/17,035-01,imp,60.0,60.0,True,0.0,75.4000024128,374.7626079522623,15.190042125177191,32.0795734416556,1.768333333333333,,13:10:22,13:31:20,85.4000024128,0.018341145682524,12.62,11.003157894736844,22.8,7.4,0,53,True,False
ob036,mpala,11/11/17,036-01,gz,1.0,11.0,False,2.0,83.9000026848,395.2237339236281,21.395867713719863,43.937963624218,1.685,,05:39:28,05:59:45,80.9000026848,0.0,5.61,3.704375,17.8,1.9,66,83,False,True
ob036,mpala,11/11/17,036-01,pz,10.0,11.0,True,2.0,83.9000026848,395.2237339236281,21.395867713719863,43.937963624218,1.685,,05:39:28,05:59:45,80.9000026848,0.0,5.61,3.704375,17.8,1.9,66,83,False,True
ob037,mpala,11/11/17,037-01,pz,5.0,19.0,True,1.0,85.7000027424,447.49469990265214,10.03777377098884,41.7815654094776,4.263333333333334,,06:26:44,06:46:44,86.7000027424,0.0209123209545558,7.81,7.127391304347825,19.1,2.2,66,76,False,True
ob038,mpala,11/11/17,038-01,imp,23.0,23.0,True,1.0,50.6000016192,254.60863948068007,12.259049679920407,34.3871715312192,1.7816666666666667,,07:39:09,08:02:46,76.6000016192,0.1080146317721351,8.84,6.815416666666667,20.7,4.8,0,63,True,False
ob039,mpala,11/11/17,039-01,imp,50.0,50.0,True,0.0,74.9000023968,561.6617214156942,16.30284751535441,43.6715638447676,2.4758333333333336,,11:49:52,12:06:19,85.9000023968,0.047775967621323,6.94,5.108499999999999,22.3,3.2,73,62,True,False
ob040,mpala,11/11/17,040-01,gz,1.0,17.0,False,,75.4000024128,211.23862713920445,16.165719200839273,37.0295693436056,0.905,,12:58:46,13:17:32,81.4000024128,,7.27,6.55,22.2,6.7,73,60,True,True
ob040,mpala,11/11/17,040-01,imp,16.0,17.0,False,1.0,75.4000024128,211.23862713920445,16.165719200839273,37.0295693436056,0.905,,12:58:46,13:17:32,81.4000024128,,7.27,6.55,22.2,6.7,73,60,True,True
ob041,mpala,11/12/17,041-01,buf,43.0,43.0,True,1.0,85.500002736,309.53462011815225,14.996381012910996,42.2603650130844,1.545,,05:49:32,06:09:04,69.500002736,0.2443534032642728,4.08,3.123125,17.2,2,75,88,False,False
ob042,mpala,11/13/17,042-01,gz,1.0,13.0,False,2.0,75.60000241920001,188.27736764693464,13.317202308160384,31.9571735429892,0.9033333333333332,,11:35:16,11:56:16,68.60000241920001,0.1266762915111133,7.09,5.660869565217391,22,4.4,65,66,False,True
ob042,mpala,11/13/17,042-01,imp,12.0,13.0,True,0.0,75.60000241920001,188.27736764693464,13.317202308160384,31.9571735429892,0.9033333333333332,,11:35:16,11:56:16,68.60000241920001,0.1266762915111133,7.09,5.660869565217391,22,4.4,65,66,False,True
ob043,mpala,11/13/17,043-01,gz,4.0,25.0,True,2.0,84.500002704,280.3874078520557,14.255401496667565,37.0043693644684,1.2833333333333334,,12:27:30,12:49:26,85.500002704,0.2364467173993294,6.91,5.968500000000001,21.9,4.6,65,64,False,True
ob043,mpala,11/13/17,043-01,imp,21.0,25.0,False,1.0,84.500002704,280.3874078520557,14.255401496667565,37.0043693644684,1.2833333333333334,,12:27:30,12:49:26,85.500002704,0.2364467173993294,6.91,5.968500000000001,21.9,4.6,65,64,False,True
ob044,mpala,11/13/17,044-01,pz,12.0,12.0,True,3.0,85.500002736,392.1844844573777,11.507412462661993,34.1027717666708,2.8822222222222225,,13:11:38,13:24:17,82.500002736,0.0104106392172541,9.09,8.345555555555556,21.8,6.3,0,61,True,False
ob046,mpala,11/14/17,046-01,pz,13.0,13.0,False,0.0,85.1000027232,341.7028090901037,20.729906075524795,43.811963728532,1.2966666666666666,,06:58:10,07:18:05,76.1000027232,0.0105652135982824,6.09,5.526666666666666,17.9,4.9,75,80,True,False
ob047,mpala,11/14/17,047-01,pz,18.0,18.0,True,0.0,99.6000031872,301.5640312368397,19.007548052149968,48.3875599404436,1.205,,07:28:41,07:49:24,98.6000031872,0.0095615312809968,7.47,6.383571428571428,17.7,5.2,0,82,False,False
ob048,mpala,11/14/17,048-01,imp,11.0,11.0,False,1.0,75.8000024256,310.7618988725229,12.586839009811486,32.8463728068304,1.945,,08:25:55,08:47:28,81.8000024256,0.1530446785931115,8.05,6.909285714285715,17.5,5.5,0,84,True,False
ob049,mpala,11/14/17,049-01,pz,10.0,11.0,True,0.0,94.7000030304,584.9527334346622,25.655306604226134,40.7591662559112,1.54,,12:53:42,13:14:53,80.7000030304,0.0931141454485824,8.69,8.29111111111111,21.5,4.7,66,64,False,True
ob050,mpala,11/14/17,050-01,imp,30.0,30.0,False,0.0,85.7000027424,616.5449684690076,25.9080332830504,40.1831667327752,1.4741666666666666,,13:39:44,14:01:05,77.7000027424,0.051113385841883,7.32,6.2700000000000005,21.2,5.3,0,65,True,False
ob051,mpala,11/15/17,051-01,imp,46.0,46.0,True,3.0,75.7000024224,481.7046628467899,14.132095527248495,45.413962402254,3.4591666666666665,,05:34:31,05:53:52,55.7000024224,0.1856213570550635,2.72,1.88875,17.7,2.8,36,76,False,False
ob052,mpala,11/15/17,052-01,imp,13.0,13.0,False,1.0,75.500002416,333.7734668935753,25.92000147103732,47.7251604888372,0.7958333333333333,,06:18:32,06:39:25,78.500002416,0.1007365676983498,3.35,2.635714285714285,19.2,3.8,36,67,False,False
ob053,mpala,11/15/17,053-01,gz,5.0,5.0,True,0.0,96.8000030976,213.04051959397012,21.59795545261119,48.1427601431108,0.6816666666666666,,07:14:23,07:36:57,95.8000030976,0.1989456713436144,3.99,2.91625,20.6,6.7,0,58,False,False
ob054,mpala,11/15/17,054-01,pz,24.0,24.0,True,1.0,,,,,,,,,,,,,21.4,6.4,0,54,False,False
ob055,mpala,11/15/17,055-01,imp,36.0,36.0,True,0.0,75.3000024096,199.2576894340009,14.625621948361342,35.297970777178,1.0166666666666666,,12:22:49,12:45:59,82.3000024096,0.1287412293838145,9.49,7.775909090909093,22.5,5.3,67,56,False,False
ob056,mpala,11/15/17,056-01,imp,41.0,41.0,False,0.0,86.000002752,518.752857671765,26.90569130530559,43.7975637404536,1.2294444444444446,,13:23:18,13:44:35,80.000002752,0.0576629773695156,8.57,6.814999999999999,22.5,7.2,0,50,False,False
ob057,mpala,11/16/17,057-01,imp,6.0,6.0,False,1.0,65.60000209920001,350.3775077843614,17.144221968839,26.72997787053,1.3641666666666667,,05:49:38,06:09:25,68.60000209920001,0.2265611266239902,4.06,3.022631578947369,18.2,2.4,58,78,False,False
ob058,mpala,11/16/17,058-01,imp,6.0,6.0,False,0.0,75.8000024256,222.108779947172,17.83931537807561,44.5355631294716,0.9125,,06:29:03,06:48:52,86.8000024256,0.1447160222869037,6.49,4.22875,18.8,3.1,58,74,True,False
ob059,mpala,11/16/17,059-01,imp,18.0,18.0,True,0.0,75.2000024064,311.37694780256834,14.555728076853011,33.2495724730256,1.3191666666666666,,07:16:05,07:36:15,62.2000024064,0.0704494042556238,2.98,1.691818181818182,19.8,4.3,0,68,False,False
ob060,mpala,11/16/17,060-01,imp,9.0,9.0,False,0.0,,,,,,,,,,,,,,,,,False,False
ob061,mpala,3/30/18,061-01,gz,14.0,14.0,True,0.0,80.500002576,257.3496380982729,14.500182685715416,19.367983965448,1.1405555555555555,,04:37:10,04:59:01,87.500002576,0.2913298061191973,4.7,3.983333333333333,15.3,0.5,99,77,False,False
ob062,mpala,3/30/18,062-01,imp,24.0,24.0,False,1.0,75.60000241920001,278.2691209835083,7.586983290078671,31.391974010912,2.9066666666666667,,06:05:44,06:25:44,80.60000241920001,0.2407535536013594,1.14,0.669,18.4,1.5,98,68,False,False
ob063,mpala,3/30/18,063-01,imp,28.0,28.0,True,0.0,65.40000209280001,311.79840617346247,9.627512190773354,45.647962208528,5.023333333333333,,07:28:26,07:49:59,79.40000209280001,0.0490631542841831,9.52,8.35,21.1,3.1,90,57,False,False
ob064,mpala,3/31/18,064-01,imp,33.0,33.0,True,1.0,65.40000209280001,514.1279196849326,17.901360860230742,40.571966410892,1.8858333333333333,,04:39:42,05:01:05,68.40000209280001,0.0749939354148729,2.43,1.7645,15.7,1,92,76,False,False
ob065,mpala,3/31/18,065-01,imp,13.0,13.0,False,0.0,66.20000211840001,483.3460512971996,12.728757138762347,38.87996781168,3.01,,05:31:03,05:49:48,62.20000211840001,0.0770190368911198,4.94,4.123913043478261,17.2,0.2,84,70,False,False
ob066,mpala,3/31/18,066-01,gz,9.0,9.0,True,2.0,80.30000256960001,323.0697409040608,8.427653718302265,26.531978034452003,3.2016666666666667,,06:37:33,06:57:45,81.30000256960001,0.0436590476255435,3.81,2.9771428571428573,19.5,0.7,67,62,False,False
