observation,flight,site,species,group_size_spp,group_size_total,young_present,note,exclude,group_behavior
ob001,001-01,opc,gg,5,21,False,,,2.0
ob001,001-01,opc,tg,16,21,True,,,1.0
ob002,002-01,opc,buf,14,14,False,,,1.0
ob003,003-01,opc,tg,5,26,True,,,
ob003,003-01,opc,pz,21,26,True,,,3.0
ob004,004-01,opc,gg,9,9,False,,,2.0
ob005,005-01,opc,buf,113,113,True,,,2.0
ob006,006-01,opc,eland,8,8,False,,,0.0
ob007,007-01,opc,warthog,7,84,True,,,3.0
ob007,007-01,opc,tg,77,84,True,,,3.0
ob008,008-01,opc,waterbuck,14,24,False,,,0.0
ob008,008-01,opc,pz,10,24,True,"mother and foal run to center of group, in response to other zebras running in from outside of frame.",,0.0
ob009,009-01,opc,tg,13,14,False,,,0.0
ob009,009-01,opc,imp,1,14,False,,,0.0
ob010,010-01,opc,gg,5,19,False,,,2.0
ob010,010-01,opc,tg,14,19,True,,,2.0
ob011,011-01,opc,gg,3,31,False,,,0.0
ob011,011-01,opc,tg,28,31,False,,,0.0
ob012,012-01,opc,buf,34,34,True,,,1.0
ob013,013-01,mpala,waterbuck,1,29,False,,,
ob013,013-01,mpala,imp,28,29,False,,,0.0
ob014,014-01,mpala,imp,27,27,True,,,1.0
ob015,015-01,mpala,pz,2,12,False,,,0.0
ob015,015-01,mpala,gz,10,12,False,,,2.0
ob016,016-01,mpala,gz,3,38,True,,,0.0
ob016,016-01,mpala,imp,35,38,True,,,0.0
ob017,017-01,mpala,elephant,9,9,True,,,
ob018,018-01,mpala,imp,24,24,True,,,0.0
ob019,019-01,mpala,giraffe,1,41,False,,,
ob019,019-01,mpala,pz,40,41,True,,,3.0
ob020,020-01,mpala,buf,,,,exclude - eagle attacks drone seconds after observation begins,True,
ob021,021-01,mpala,imp,29,29,False,,,0.0
ob022,022-01,mpala,gg,12,12,False,,,1.0
ob023,023-01,mpala,gg,5,5,False,,,1.0
ob024,024-01,mpala,giraffe,6,16,False,,,2.0
ob024,024-01,mpala,imp,10,16,False,running spurred by a challenging male,,0.0
ob025,025-01,mpala,pz,36,41,True,"part of group walks off, but rest of group stays",,1.0
ob025,025-01,mpala,warthog,5,41,True,,,1.0
ob026,026-01,mpala,imp,24,24,True,,,1.0
ob027,027-01,mpala,gz,7,7,True,,,3.0
ob028,028-01,mpala,gz,6,6,True,,,1.0
ob029,029-01,mpala,imp,58,58,True,,,1.0
ob030,030-01,mpala,imp,7,7,False,,,0.0
ob031-032,031-032-01,mpala,imp,5,5,False,,,1.0
ob033,033-01,mpala,pz,27,27,True,,,1.0
ob034,034-01,mpala,pz,14,18,True,,,2.0
ob034,034-01,mpala,imp,4,18,False,,,
ob035,035-01,mpala,imp,60,60,True,,,0.0
ob036,036-01,mpala,pz,10,11,True,,,2.0
ob036,036-01,mpala,gz,1,11,False,,,2.0
ob037,037-01,mpala,eland,7,19,False,,,1.0
ob037,037-01,mpala,pz,5,19,True,,,1.0
ob037,037-01,mpala,oryx,7,19,True,,,1.0
ob038,038-01,mpala,imp,23,23,True,,,1.0
ob039,039-01,mpala,imp,50,50,True,,,0.0
ob040,040-01,mpala,gz,1,17,False,,,
ob040,040-01,mpala,imp,16,17,False,,,1.0
ob041,041-01,mpala,buf,43,43,True,,,1.0
ob042,042-01,mpala,imp,12,13,True,,,0.0
ob042,042-01,mpala,gz,1,13,False,,,2.0
ob043,043-01,mpala,gz,4,25,True,car drives in toward end of 2 min,,2.0
ob043,043-01,mpala,imp,21,25,False,car drives in toward end of 2 min,,1.0
ob044,044-01,mpala,pz,12,12,True,,,3.0
ob045,045-01,mpala,gg,8,15,True,,,1.0
ob045,045-01,mpala,oryx,7,15,True,,,1.0
ob046,046-01,mpala,pz,13,13,False,,,0.0
ob047,047-01,mpala,pz,18,18,True,,,0.0
ob048,048-01,mpala,imp,11,11,False,,,1.0
