observation,site,date,map_area,flight
ob001,opc,11/2/17,NAN,001-01
ob002,opc,11/2/17,NAN,002-01
ob003,opc,11/2/17,NAN,003-01
ob004,opc,11/2/17,NAN,004-01
ob005,opc,11/2/17,NAN,005-01
ob006,opc,11/2/17,NAN,006-01
ob007,opc,11/2/17,NAN,007-01
ob008,opc,11/3/17,NAN,008-01
ob009,opc,11/3/17,NAN,009-01
ob010,opc,11/3/17,NAN,010-01
ob011,opc,11/3/17,NAN,011-01
ob012,opc,11/3/17,NAN,012-01
ob013,mpala,11/6/17,riverside1_2_3_merge,013-01
ob014,mpala,11/6/17,clifford,014-01
ob015,mpala,11/6/17,mpala010,015-01
ob016,mpala,11/6/17,mpala004,016-01
ob017,mpala,11/7/17,clifford,017-01
ob018,mpala,11/7/17,mpala010,018-01
ob019,mpala,11/7/17,airstrip_ne_merge,019-01
ob020,mpala,11/7/17,airstrip_ne_merge,020-01
ob021,mpala,11/7/17,ebee_highdam,021-01
ob022,mpala,11/7/17,NAN,022-01
ob023,mpala,11/7/17,NAN,023-01
ob024,mpala,11/7/17,NAN,024-01
ob025,mpala,11/8/17,airstrip_ne_merge,025-01
ob025,mpala,11/8/17,airstrip_ne_merge,025-02
ob025,mpala,11/8/17,airstrip_ne_merge,025-03
ob026,mpala,11/8/17,baculi_whole_area,026-01
ob026,mpala,11/8/17,baculi_whole_area,026-02
ob027,mpala,11/8/17,riverside1_2_3_merge,027-01
ob028,mpala,11/8/17,riverside4_5_11_merge,028-01
ob028,mpala,11/8/17,riverside4_5_11_merge,028-02
ob029,mpala,11/8/17,ebee_highdam,029-01
ob029,mpala,11/8/17,ebee_highdam,029-02
ob030,mpala,11/10/17,riverside1_2_3_merge,030-01
ob030,mpala,11/10/17,riverside1_2_3_merge,030-02
ob031-032,mpala,11/10/17,baculi_whole_area,031-032-01
ob031-032,mpala,11/10/17,baculi_whole_area,031-032-02
ob031-032,mpala,11/10/17,baculi_whole_area,031-032-03
ob033,mpala,11/10/17,airstrip_ne_merge,033-01
ob033,mpala,11/10/17,airstrip_ne_merge,033-02
ob034,mpala,11/10/17,ebee_highdam,034-01
ob035,mpala,11/10/17,ebee_highdam,035-01
ob036,mpala,11/11/17,mpala006,036-01
ob037,mpala,11/11/17,2018-04-22_airstrip2-3,037-01
ob037,mpala,11/11/17,2018-04-22_airstrip2-3,037-02
ob038,mpala,11/11/17,baculi_whole_area,038-01
ob038,mpala,11/11/17,baculi_whole_area,038-02
ob039,mpala,11/11/17,ebee_highdam,039-01
ob039,mpala,11/11/17,ebee_highdam,039-02
ob039,mpala,11/11/17,ebee_highdam,039-03
ob040,mpala,11/11/17,NAN,040-01
ob041,mpala,11/12/17,riverside1_2_3_merge,041-01
ob041,mpala,11/12/17,riverside1_2_3_merge,041-02
ob041,mpala,11/12/17,riverside1_2_3_merge,041-03
ob041,mpala,11/12/17,riverside1_2_3_merge,041-04
ob041,mpala,11/12/17,riverside1_2_3_merge,041-05
ob042,mpala,11/13/17,riverside4_5_11_merge,042-01
ob042,mpala,11/13/17,riverside4_5_11_merge,042-02
ob043,mpala,11/13/17,riverside1_2_3_merge,043-01
ob044,mpala,11/13/17,airstrip_ne_merge,044-01
ob045,mpala,11/13/17,2018-04-22_airstrip2-3,045-01
ob045,mpala,11/13/17,2018-04-22_airstrip2-3,045-02
ob045,mpala,11/13/17,2018-04-22_airstrip2-3,045-03
ob046,mpala,11/14/17,airstrip_ne_merge,046-01
ob047,mpala,11/14/17,airstrip_ne_merge,047-01
ob047,mpala,11/14/17,airstrip_ne_merge,047-02
ob048,mpala,11/14/17,baculi_whole_area,048-01
ob049,mpala,11/14/17,ebee_highdam,049-01
ob049,mpala,11/14/17,ebee_highdam,049-02
ob050,mpala,11/14/17,ebee_highdam,050-01
ob050,mpala,11/14/17,ebee_highdam,050-02
ob050,mpala,11/14/17,ebee_highdam,050-03
ob051,mpala,11/15/17,riverside007,051-01
ob051,mpala,11/15/17,riverside007,051-02
ob052,mpala,11/15/17,riverside4_5_11_merge,052-01
ob052,mpala,11/15/17,riverside4_5_11_merge,052-02
ob053,mpala,11/15/17,riverside1_2_3_merge,053-01
