observation,flight,flight_type,launch,gimbal_down,prev_drone,gohome,landed,first_clip_start,note,exclude,exclude_log
ob001,001-01,initial,0:22,0:29,NAN,NAN,NAN,4:14,gohome and landed key points aren't in log because we returned to home manually and caught the drone rather than landing it on the ground,,
ob002,002-01,initial,0:24,0:35,NAN,NAN,23:05,3:24,Gohome not in the drone log because we returned to home manually,,
ob003,003-01,initial,0:15,0:21,NAN,21:07,22:30,1:47,,,
ob004,004-01,initial,NAN,NAN,NAN,9:08,10:52,0:00,video started when drone was already over group - check how long drone was in place before video started,,
ob005,005-01,initial,0:27,NAN,NAN,16:17,19:20,2:44,"launch and gimbal down are too close to each other to distinguish, so I've only entered 1 value",,
ob006,006-01,initial,0:18,0:25,NAN,19:05,21:51,2:25,,,
ob007,007-01,initial,0:15,0:22,NAN,18:42,21:23,2:31,,,
ob008,008-01,initial,0:22,0:25,NAN,18:51,20:24,1:57,,,
ob009,009-01,initial,0:16,0:58,NAN,21:31,23:10,2:06,,,
ob010,010-01,initial,0:07,1:26,NAN,20:12,22:15,3:29,,,
ob011,011-01,initial,0:11,1:27,NAN,NAN,NAN,2:35,,,
ob012,012-01,initial,0:07,1:43,NAN,NAN,21:00,2:40,,,
ob013,013-01,initial,NAN,NAN,NAN,15:51,17:26,1:42,,,
ob014,014-01,initial,0:05,0:26,NAN,17:35,19:10,3:28,,,
ob015,015-01,initial,0:08,1:06,NAN,16:35,18:37,2:45,,,
ob016,016-01,initial,0:05,1:36,NAN,18:02,19:37,2:04,,,
ob017,017-01,initial,0:04,8:23,NAN,6:48,10:30,8:33,,,
ob018,018-01,initial,NAN,NAN,NAN,18:15,19:49,0:00,video started when drone was already over group - check how long drone was in place before video started,,
ob019,019-01,initial,0:04,0:18,NAN,20:43,22:23,5:48,,,
ob020,020-01,initial,NAN,NAN,NAN,NAN,3:21,NAN,exclude - eagle attack - drone flies erratically while over group,TRUE,TRUE
ob021,021-01,initial,0:28,1:27,NAN,19:08,21:07,3:23,,,
ob022,022-01,initial,NAN,NAN,NAN,17:56,20:07,0:00,video started when drone was already over group - check how long drone was in place before video started,,
ob023,023-01,initial,0:05,1:49,NAN,19:27,21:19,2:26,,,
ob024,024-01,initial,0:05,1:45,NAN,NAN,18:10,2:03,,,
ob025,025-01,initial,0:08,3:11,NAN,18:31,20:35,3:24,,,
ob025,025-02,replacement,0:08,1:56,2:59,19:09,21:14,3:42,,,
ob025,025-03,replacement,0:04,1:44,NAN,17:47,19:56,4:20,,,
ob026,026-01,initial,0:04,1:15,NAN,18:21,19:45,1:40,,,
ob026,026-02,replacement,NAN,1:24,1:52,15:59,17:30,2:29,,,
ob027,027-01,initial,0:06,1:31,NAN,10:29,12:42,1:35,,,
ob028,028-01,initial,0:06,2:01,NAN,8:20,9:52,2:08,,,
ob028,028-02,replacement,NAN,NAN,NAN,6:01,7:38,0:00,video started when drone was already over group - check how long drone was in place before video started,,
ob029,029-01,initial,NAN,NAN,NAN,16:27,18:05,0:00,video started when drone was already over group - check how long drone was in place before video started,,
ob029,029-02,replacement,0:07,1:29,2:31,17:36,19:44,3:15,,,
ob030,030-01,initial,0:07,2:07,NAN,20:38,22:11,2:24,,,
ob030,030-02,replacement,NAN,1:09,1:36,18:41,20:07,1:52,,,
ob031-032,031-032-01,initial,0:07,0:49,NAN,19:50,21:27,3:50,,,
ob031-032,031-032-02,replacement,0:03,1:07,1:31,20:00,21:30,1:44,,,
ob031-032,031-032-03,replacement,0:10,1:10,NAN,8:57,11:15,1:22,,,
ob033,033-01,initial,0:13,2:41,NAN,14:37,16:42,2:46,,,
ob033,033-02,replacement,0:03,0:08,1:47,13:32,15:47,2:36,,,
ob034,034-01,initial,NAN,NAN,NAN,18:54,20:31,0:42,first gimbal down is before camera was turned on,,
ob035,035-01,initial,0:04,2:05,NAN,18:51,21:02,2:18,,,
ob036,036-01,initial,0:03,0:08,NAN,17:36,20:21,2:20,,,
ob037,037-01,initial,NAN,3:30,NAN,NAN,NAN,5:18,,,
ob037,037-02,replacement,0:02,1:11,3:20,17:49,NAN,3:50,,,
ob038,038-01,initial,0:07,0:13,NAN,22:14,23:45,2:24,,,
ob038,038-02,replacement,NAN,NAN,0:14,13:23,15:36,0:36,video started when drone was already over group - check how long drone was in place before video started,,
ob039,039-01,initial,0:03,1:48,NAN,14:09,16:32,2:53,,,
ob039,039-02,replacement,0:12,3:53,2:55,17:29,19:31,4:00,,,
ob039,039-03,replacement,0:04,3:09,3:43,1:21,14:22,3:56,accidentally engaged GoHome during search for animals,,
ob040,040-01,initial,0:05,1:28,NAN,17:13,18:51,1:41,,,
ob041,041-01,initial,0:05,1:44,NAN,17:48,19:37,2:06,,,
ob041,041-02,replacement,0:05,0:25,1:59,18:26,20:20,2:04,didn't lower down,,
ob041,041-03,replacement,0:02,2:04,2:37,19:00,20:42,2:59,,,
ob041,041-04,replacement,NAN,NAN,NAN,13:45,15:14,0:00,video started when drone was already over group - check how long drone was in place before video started,,
ob041,041-05,replacement,0:05,1:47,1:56,12:59,NAN,2:11,,,
ob042,042-01,initial,0:06,0:59,NAN,19:29,21:07,1:23,,,
ob042,042-02,replacement,0:07,1:01,1:28,19:46,21:27,2:02,,,
ob043,043-01,initial,0:02,1:07,NAN,20:04,22:00,1:48,,,
ob044,044-01,initial,0:18,0:43,NAN,10:15,12:56,3:42,,,
ob045,045-01,initial,0:05,1:37,NAN,17:26,19:44,3:10,,,
ob045,045-02,replacement,0:07,0:18,2:10,17:35,19:47,2:58,,,
ob045,045-03,replacement,0:05,1:31,2:03,18:42,21:07,2:09,,,
ob046,046-01,initial,0:04,1:43,NAN,17:35,19:59,2:07,,,
