observation,flight_num,clip_num,ob_time,flight_time,spp,group_behavior
2,1,1,0,3:24,buf,1.0
2,1,2,7,10:24,buf,2.0
2,1,3,14,17:24,buf,0.0
3,1,1,0,1:47,pz,3.0
3,1,2,7,8:47,pz,0.0
3,1,3,14,15:47,pz,0.0
5,1,1,0,2:44,buf,2.0
5,1,2,7,9:44,buf,1.0
8,1,1,0,1:57,pz,0.0
8,1,2,7,8:57,pz,0.0
8,1,3,14,15:57,pz,0.0
12,1,1,0,2:40,buf,1.0
12,1,2,7,9:40,buf,1.0
12,1,3,14,16:40,buf,1.0
13,1,1,0,1:42,imp,0.0
13,1,2,7,8:42,imp,0.0
14,1,1,0,3:28,imp,1.0
14,1,2,7,10:28,imp,1.0
15,1,1,0,2:45,gz,2.0
15,1,2,7,9:45,gz,2.0
16,1,1,0,2:04,gz,0.0
16,1,2,7,9:04,gz,1.0
16,1,3,14,16:04,gz,0.0
16,1,1,0,2:04,imp,0.0
16,1,2,7,9:04,imp,0.0
16,1,3,14,16:04,imp,0.0
18,1,1,0,0:00,imp,0.0
18,1,2,7,7:00,imp,0.0
19,1,1,0,5:48,pz,3.0
19,1,2,7,12:48,pz,0.0
21,1,1,0,3:23,imp,0.0
21,1,2,7,10:23,imp,0.0
24,1,1,0,2:03,imp,0.0
24,1,2,7,9:03,imp,2.0
25,1,1,0,3:24,pz,1.0
25,1,2,7,10:24,pz,0.0
25,2-Jan,3,14,17:24/1:52,pz,0.0
25,2,4,21,8:52,pz,0.0
25,2,5,28,15:52,pz,0.0
26,1,1,0,1:40,imp,1.0
26,1,2,7,8:40,imp,1.0
26,1,3,14,15:40,imp,0.0
26,2,4,21,6:23,imp,1.0
27,1,1,0,1:35,gz,3.0
27,1,2,7,8:35,gz,3.0
28,1,1,0,2:08,gz,1.0
29,1,1,0,0:00,imp,1.0
29,1,2,7,7:00,imp,0.0
29,1,3,14,14:00,imp,0.0
29,2,4,21,7:04,imp,2.0
30,1,1,0,2:24,imp,0.0
30,1,2,7,9:24,imp,0.0
30,1,3,14,16:24,imp,0.0
30,2,4,21,4:22,imp,0.0
30,2,5,28,11:22,imp,0.0
031-032,1,1,0,3:50,imp,1.0
031-032,1,2,7,10:50,imp,0.0
031-032,1,3,14,17:50,imp,1.0
031-032,2,4,21,6:31,imp,1.0
33,1,1,0,2:46,pz,1.0
33,1,2,7,9:46,pz,2.0
33,2,3,14,3:56,pz,0.0
34,1,1,0,0:42,pz,2.0
34,1,2,7,7:42,pz,2.0
34,1,3,14,14:42,pz,2.0
35,1,1,0,2:18,imp,0.0
35,1,2,7,9:18,imp,0.0
35,1,3,14,16:18,imp,2.0
36,1,1,0,2:20,pz,2.0
36,1,2,7,9:20,pz,1.0
37,1,1,0,5:18,pz,1.0
37,1,2,7,12:18,pz,0.0
38,1,1,0,2:24,imp,1.0
38,1,2,7,9:24,imp,1.0
38,1,3,14,16:24,imp,1.0
38,2,4,21,1:24,imp,1.0
39,1,1,0,2:53,imp,0.0
39,1,2,7,9:53,imp,0.0
39,2,3,14,5:39,imp,0.0
39,2,4,21,12:39,imp,0.0
40,1,1,0,1:41,imp,1.0
40,1,2,7,8:41,imp,0.0
41,1,1,0,2:06,buf,1.0
41,1,2,7,9:06,buf,1.0
41,2-Jan,3,14,16:06/0:15,buf,1.0
41,2,4,21,7:15,buf,1.0
41,2,5,28,14:15,buf,0.0
41,3,6,35,5:26,buf,2.0
41,3,7,42,12:26,buf,1.0
42,1,1,0,1:23,imp,0.0
42,1,2,7,8:23,imp,0.0
42,1,3,14,15:23,imp,1.0
42,2,4,21,4:22,imp,0.0
42,2,5,28,11:22,imp,0.0
43,1,1,0,1:48,gz,2.0
43,1,1,0,1:48,imp,1.0
43,1,2,7,8:48,imp,0.0
43,1,3,14,15:48,imp,0.0
44,1,1,0,3:42,pz,3.0
46,1,1,0,2:07,pz,0.0
46,1,2,7,9:07,pz,3.0
47,1,1,0,1:47,pz,0.0
47,1,2,7,8:47,pz,2.0
47,1,3,14,15:47,pz,1.0
