milliseconds,wind_direction,windspeed
15000,57,3.3
20000,52,6.65
25000,55,6.61
30000,57,6.15
40000,71,6.29
60000,50,7.85
65000,50,7.34
80000,56,6.01
85000,49,8.17
95000,62,6.16
125000,52,7.35
135000,64,5.46
150000,55,6.92
185000,62,5.61
210000,47,6.6
215000,61,6.8
220000,56,6.78
240000,59,6.53
245000,60,5.51
250000,56,6.33
255000,56,5.62
260000,54,6.39
265000,54,6.25
270000,55,6.15
295000,51,6.26
310000,51,4.83
315000,62,5.55
320000,61,6.22
325000,66,5.26
330000,51,5.28
335000,52,5.09
340000,38,5.75
345000,40,4.63
350000,39,4.83
355000,40,5.34
360000,40,6.17
365000,41,6.74
370000,41,6.78
375000,43,6.75
380000,42,6.71
385000,41,6.61
390000,40,6.41
395000,41,6.62
400000,40,6.32
405000,40,6.58
410000,43,5.75
415000,42,6.57
420000,43,6.44
425000,44,6.85
430000,41,6.85
435000,40,6.29
440000,40,6.08
445000,37,6.16
450000,36,6.14
455000,37,6.26
460000,39,6.37
465000,41,6.32
470000,41,6.52
475000,37,5.99
480000,39,6.04
485000,39,5.78
490000,38,5.81
495000,40,6.05
500000,42,6.2
505000,44,6.24
510000,42,5.93
515000,40,5.8
520000,40,5.52
525000,41,5.5
530000,43,5.6
535000,44,5.73
540000,42,5.93
545000,43,5.53
550000,45,5.23
555000,39,5.39
560000,42,5.4
565000,44,5.54
570000,41,5.66
575000,41,5.57
580000,42,5.42
585000,39,5.73
590000,46,6.42
595000,46,6.44
600000,43,6.53
605000,44,6.53
610000,41,5.95
615000,47,5.81
620000,43,5.91
625000,45,6.01
630000,58,5.57
635000,47,5.63
640000,46,5.32
645000,50,5.26
650000,45,5.43
655000,50,5.66
660000,49,5.55
665000,39,4.95
670000,42,5.43
675000,43,5.62
680000,45,5.74
685000,39,5.36
690000,40,4.73
695000,39,4.74
700000,45,4.37
705000,35,4.63
710000,40,5.25
715000,39,5.72
720000,34,3.87
725000,35,4.98
730000,38,5.48
735000,39,5.57
740000,39,6.0
745000,40,5.97
750000,38,5.77
755000,37,5.64
760000,39,6.14
765000,36,5.87
770000,38,5.78
775000,40,5.85
780000,42,5.68
785000,38,5.3
790000,41,5.62
795000,38,5.7
800000,39,5.68
805000,38,5.93
810000,38,5.87
815000,48,5.9
820000,46,5.48
825000,47,5.54
830000,58,4.52
835000,86,4.37
840000,75,4.59
845000,53,4.26
850000,67,3.65
855000,43,3.98
860000,53,3.93
865000,35,4.55
870000,42,3.81
875000,43,3.8
880000,43,4.25
885000,47,3.55
890000,44,3.83
895000,38,3.97
900000,39,3.89
905000,40,4.46
910000,40,4.65
915000,38,4.59
920000,47,4.11
925000,49,4.52
930000,53,4.22
935000,60,4.39
940000,55,4.89
945000,41,4.3
950000,87,4.56
955000,71,4.18
960000,58,5.29
965000,52,4.3
975000,72,5.57
980000,86,4.92
985000,82,5.07
990000,84,5.51
995000,86,4.9
1000000,80,5.01
1005000,75,5.31
1010000,72,5.32
1015000,75,5.71
1020000,79,5.75
1025000,77,5.72
1030000,80,5.08
1035000,89,4.49
1040000,80,4.32
1045000,95,4.39
1050000,93,3.76
1055000,71,3.57
1060000,76,3.85
1065000,81,4.17
1070000,89,4.71
1075000,66,4.15
1080000,67,4.34
1085000,72,4.75
1090000,66,3.96
1095000,72,5.06
1100000,75,4.88
1105000,78,4.71
1110000,80,4.7
1115000,67,3.92
1120000,80,4.39
1125000,92,4.63
1130000,84,4.7
1135000,63,5.23
1140000,79,5.73
1145000,59,4.31
1150000,74,4.44
1155000,73,4.77
1160000,75,4.29
1165000,81,5.35
1170000,79,4.61
1175000,47,4.66
1180000,54,5.09
1185000,64,4.53
1210000,77,8.2
1235000,64,5.91
1285000,77,3.4
1290000,61,3.15
