milliseconds,wind_direction,windspeed
15000,163,4.46
40000,200,2.59
45000,215,2.35
50000,203,1.01
55000,201,2.56
60000,190,2.89
65000,188,3.16
70000,203,2.77
90000,176,1.59
95000,166,2.84
120000,165,3.31
125000,158,3.7
130000,153,4.11
135000,162,3.31
140000,166,3.62
145000,155,4.1
150000,150,3.46
160000,160,3.19
165000,164,2.78
170000,160,3.09
175000,156,3.5
200000,192,2.99
205000,158,3.44
220000,151,2.8
225000,148,2.04
230000,152,3.27
235000,153,3.67
240000,149,3.01
245000,151,3.3
250000,151,4.47
260000,169,3.74
265000,162,3.29
270000,170,2.74
275000,157,2.74
280000,157,3.28
285000,149,2.75
290000,151,2.75
295000,154,3.11
315000,157,3.77
320000,156,3.8
325000,155,3.72
330000,160,4.46
345000,153,3.43
350000,156,3.41
355000,154,3.09
360000,151,2.97
365000,152,2.92
370000,154,2.98
375000,157,2.93
380000,156,3.12
385000,155,2.49
390000,154,2.41
395000,150,2.89
405000,152,2.54
410000,149,2.4
415000,146,1.95
420000,145,2.06
425000,148,2.22
430000,149,2.11
435000,151,2.31
440000,150,2.57
445000,149,2.34
450000,158,2.27
455000,147,2.35
460000,148,2.98
465000,150,2.89
470000,148,2.76
475000,154,2.81
480000,157,2.96
485000,158,3.5
490000,158,3.68
495000,156,3.6
500000,154,3.44
505000,156,3.69
510000,157,3.47
515000,156,3.48
520000,154,3.26
525000,152,3.4
530000,154,3.73
545000,154,3.66
550000,154,3.42
555000,154,3.27
560000,154,3.11
565000,153,3.2
570000,154,3.41
575000,154,3.4
580000,156,3.61
585000,153,3.67
590000,153,3.47
595000,155,3.36
600000,155,3.39
605000,152,3.45
610000,153,3.73
615000,154,3.62
620000,152,3.12
625000,152,3.27
630000,155,3.44
635000,153,3.27
640000,152,3.54
645000,168,4.27
650000,145,3.19
655000,157,3.42
660000,156,3.51
665000,156,3.32
670000,156,3.07
675000,156,3.14
680000,155,3.32
685000,155,2.98
690000,155,3.24
695000,155,2.49
700000,153,2.67
705000,155,2.45
710000,153,2.09
715000,152,2.71
720000,150,2.78
725000,156,3.5
730000,152,2.5
735000,151,2.3
740000,159,3.32
745000,155,3.62
750000,155,3.73
755000,154,3.46
760000,152,3.16
765000,149,3.34
770000,146,2.96
775000,150,3.03
780000,144,2.65
785000,146,2.48
790000,147,2.85
795000,148,2.81
800000,143,2.35
805000,147,2.72
810000,149,3.0
815000,153,2.83
820000,151,3.01
825000,151,3.06
830000,151,3.07
835000,150,3.18
840000,151,3.13
845000,153,3.83
880000,153,3.22
895000,150,2.41
900000,128,2.05
905000,148,2.22
910000,146,2.11
915000,148,2.18
930000,143,2.34
935000,143,2.4
940000,143,2.49
945000,132,2.1
950000,137,2.26
960000,139,2.46
965000,145,2.79
970000,144,2.96
975000,151,3.21
990000,154,3.27
995000,150,3.25
1000000,148,3.79
1005000,141,3.03
1010000,142,2.83
1015000,139,2.21
1020000,146,2.28
1025000,153,2.72
1030000,151,2.93
1035000,157,3.2
1050000,152,3.12
1055000,153,3.15
1060000,153,3.34
1065000,155,3.23
1075000,152,3.44
1080000,153,3.69
1090000,152,3.2
1095000,151,2.72
1115000,74,2.33
1120000,128,1.76
1125000,138,2.37
1130000,142,2.59
1135000,144,2.15
1140000,146,2.37
1145000,144,2.44
1150000,137,1.88
1155000,146,1.64
1160000,155,2.34
1165000,152,1.81
1170000,163,1.84
1175000,155,1.5
1180000,146,1.6
1185000,147,1.65
1190000,160,3.2
1210000,178,1.29
