flight,obs_ascent,launch_dist,clip1_start,clip1_end,ascent_start,ascent_end,approach_start,approach_end,proximity_start,proximity_end,approach_speed_mean,approach_speed_max,approach_duration_minutes,exchange_duration,takeoff_time,landing_time
001-01,87.8000028096,310.30815071691956,238100.0,358100.0,6000.0,47500.0,47500.0,238100.0,222900.0,358100.0,8.00990398675056,31.2047741658928,3.1766666666666667,,04:29:18,04:49:31
002-01,88.3000028256,408.5732467272283,185700.0,305700.0,6000.0,70500.0,70500.0,185700.0,159100.0,305700.0,14.229841186490471,37.421969018742,1.92,,04:58:29,05:21:09
003-01,86.500002768,214.37721471584953,96850.0,216850.0,4800.0,45300.0,45300.0,96850.0,88100.0,216850.0,19.65450013449425,46.3391616362912,0.8591666666666666,,05:24:49,05:47:05
004-01,74.9000023968,260.9694495910815,624300.0,744300.0,24500.0,53600.0,53600.0,624300.0,471000.0,744300.0,10.90509155720617,48.1283601550324,9.511666666666667,,06:02:04,06:22:56
005-01,80.9000025888,482.32837766963587,146600.0,266600.0,9900.0,40300.0,40300.0,146600.0,132400.0,266600.0,22.00152551140215,45.6731621876652,1.7716666666666667,,06:29:59,06:48:50
006-01,86.7000027744,411.94679737690115,136900.0,256900.0,11200.0,40000.0,40000.0,136900.0,108000.0,256900.0,17.016459134008215,41.867965337948,1.615,,06:50:23,07:11:54
007-01,86.3000027616,280.7789796716511,146450.0,266450.0,11600.0,48300.0,48300.0,146450.0,127600.0,266450.0,12.6998727848768,27.9611768512332,1.6358333333333333,,07:20:02,07:41:08
008-01,85.4000027328,265.8837356917176,104566.66666666667,224566.6666666667,9800.0,58700.0,58700.0,104566.66666666667,85500.0,224566.6666666667,21.475641908735955,42.7967645690048,0.7644444444444445,,04:40:25,05:00:26
009-01,88.50000283199999,315.9647166241711,118150.0,238150.0,8400.0,53900.0,53900.0,118150.0,109700.0,238150.0,18.270794443177756,43.1711642590432,1.0708333333333333,,05:09:16,05:32:08
010-01,100.0000032,456.70847335180474,216250.0,336250.0,15000.0,51200.0,51200.0,216250.0,206900.0,336250.0,10.604677754163685,43.7867637493948,2.7508333333333335,,05:39:47,06:01:53
011-01,98.8000031616,242.26833764261957,150800.0,270800.0,7100.0,42600.0,42600.0,150800.0,132100.0,270800.0,8.371230882334848,15.7175869875736,1.8033333333333332,,06:16:25,06:37:00
012-01,100.1000032032,365.1474851580603,163200.0,283200.0,10600.0,44100.0,44100.0,163200.0,102000.0,283200.0,11.84020834829988,30.761974532482,1.985,,06:45:31,07:06:23
013-01,85.4000027328,156.93976042059177,179450.0,299450.0,3300.0,37400.0,37400.0,179450.0,134900.0,299450.0,7.1500188140494485,38.0447685031328,2.3675,,07:36:31,07:55:11
014-01,85.9000027488,232.5059651715373,205950.0,325950.0,3000.0,48400.0,48400.0,205950.0,187800.0,325950.0,6.379266904958631,17.6723853692164,2.6258333333333335,,08:09:18,08:28:23
015-01,89.20000285440001,331.0464668324625,169600.0,289600.0,12600.0,50200.0,50200.0,169600.0,163700.0,289600.0,16.550535151000638,35.945970240706,1.99,,08:56:50,09:15:19
