flight,flight_type,launchtime_vid,gimbaldown_vid,gohome_vid,landed_vid,exclude,exclude_log,note,launchtime_log,gimbaldown_log,gohome_log,landed_log,landed_log_type,offset,max_discrep,mean_discrep,max_discrep_point
001-01,initial,22000.0,29000.0,,,,,gohome and landed key points aren't in log because we returned to home manually and caught the drone rather than landing it on the ground,6000.0,13200.0,,1224700.0,rc_throttle_1024,15900.0,100.0,100.0,launch
002-01,initial,24000.0,35000.0,,1385000.0,,,Gohome not in the drone log because we returned to home manually,6000.0,16700.0,,1365700.0,rc_throttle_364,18300.0,1000.0,433.3333333333333,land
003-01,initial,15000.0,21000.0,1267000.0,1350000.0,,,,4800.0,10900.0,1256700.0,1340600.0,rc_throttle_1024,10150.0,750.0,250.0,land
004-01,initial,,,548000.0,652000.0,,,video started when drone was already over group - check how long drone was in place before video started,24500.0,24500.0,1172300.0,1276300.0,rc_throttle_364,-624300.0,0.0,0.0,home
005-01,initial,27000.0,,977000.0,1160000.0,,,"launch and gimbal down are too close to each other to distinguish, so I've only entered 1 value",9900.0,10100.0,959600.0,1141100.0,rc_throttle_364,17400.0,1500.0,600.0,land
006-01,initial,18000.0,25000.0,1145000.0,1311000.0,,,,11200.0,17500.0,1136300.0,1302200.0,ascent_m_0,8100.0,1300.0,800.0,launch
007-01,initial,15000.0,22000.0,1122000.0,1283000.0,,,,11600.0,17600.0,1114800.0,1278300.0,rc_throttle_364,4550.0,2650.0,1025.0,home
008-01,initial,22000.0,25000.0,1131000.0,1224000.0,,,,9800.0,12700.0,1118500.0,1211500.0,ascent_m_0,12433.333333333334,233.33333333333576,125.00000000004002,launch
009-01,initial,16000.0,58000.0,1291000.0,1390000.0,,,,8400.0,50600.0,1282900.0,1380500.0,ascent_m_0,7850.0,1650.0,650.0,land
010-01,initial,7000.0,86000.0,1212000.0,1335000.0,,,,15000.0,93600.0,1218900.0,1341700.0,rc_throttle_364,-7250.0,750.0,500.0,launch
011-01,initial,11000.0,87000.0,,,,,,7100.0,82500.0,1145500.0,1242400.0,rc_throttle_1024,4200.0,300.0,300.0,launch
012-01,initial,7000.0,103000.0,,1260000.0,,,,10600.0,106200.0,,1262400.0,rc_throttle_364,-3200.0,800.0,400.0,land
013-01,initial,,,951000.0,1046000.0,,,,3300.0,62200.0,1028600.0,1123300.0,rc_throttle_364,-77450.0,150.0,150.0,home
014-01,initial,5000.0,26000.0,1055000.0,1150000.0,,,,3000.0,24500.0,1051600.0,1147900.0,rc_throttle_364,2050.0,1350.0,500.0,home
015-01,initial,8000.0,66000.0,995000.0,1117000.0,,,,12600.0,70600.0,999000.0,1122000.0,rc_throttle_1024,-4600.0,600.0,250.0,home
016-01,initial,5000.0,96000.0,1082000.0,1177000.0,,,,3700.0,94700.0,1079700.0,1173500.0,rc_throttle_364,1633.3333333333333,1866.6666666667443,800.0000000000375,land
017-01,initial,4000.0,503000.0,408000.0,630000.0,,,,8300.0,507500.0,411700.0,632300.0,rc_throttle_1024,-4000.0,1700.0,700.0,land
018-01,initial,,,1095000.0,1189000.0,,,video started when drone was already over group - check how long drone was in place before video started,3900.0,57700.0,1172700.0,1266100.0,rc_throttle_1024,-77400.0,300.0,300.0,home
019-01,initial,4000.0,18000.0,1243000.0,1343000.0,,,,10500.0,25800.0,1248800.0,1349000.0,rc_throttle_364,-6250.0,1550.0,625.0,gimbal
020-01,initial,,,,201000.0,True,True,exclude - eagle attack - drone flies erratically while over group,3900.0,90000.0,,374100.0,rc_throttle_364,-173100.0,0.0,0.0,land
021-01,initial,28000.0,87000.0,1148000.0,1267000.0,,,,6500.0,65000.0,1124500.0,1243500.0,rc_throttle_1024,23000.0,1500.0,875.0,launch
022-01,initial,,,1076000.0,1207000.0,,,video started when drone was already over group - check how long drone was in place before video started,2800.0,110200.0,1198300.0,1330300.0,rc_throttle_364,-122800.0,500.0,500.0,home
023-01,initial,5000.0,109000.0,1167000.0,1279000.0,,,,2400.0,106700.0,1163300.0,1275200.0,ascent_m_0,3150.0,850.0,650.0,gimbal
024-01,initial,5000.0,105000.0,,1090000.0,,,,4000.0,103500.0,999500.0,1087900.0,ascent_m_0,1500.0,600.0,366.6666666666667,land
025-01,initial,8000.0,191000.0,1111000.0,1235000.0,,,,5900.0,188700.0,1107600.0,1232100.0,rc_throttle_364,2600.0,800.0,475.0,home
025-02,replacement,8000.0,116000.0,1149000.0,1274000.0,,,,3800.0,110600.0,1144000.0,1268100.0,ascent_m_0,5200.0,1000.0,525.0,launch
025-03,replacement,4000.0,104000.0,1067000.0,1196000.0,,,,8300.0,107600.0,1070200.0,1198300.0,rc_throttle_364,-3400.0,1100.0,600.0,land
026-01,initial,4000.0,75000.0,1101000.0,1185000.0,,,,2400.0,73400.0,1099000.0,1184100.0,rc_throttle_364,1600.0,700.0,275.0,land
026-02,replacement,,84000.0,959000.0,1050000.0,,,,9800.0,102600.0,976600.0,1069700.0,ascent_m_0,-18600.0,1100.0,700.0,land
027-01,initial,6000.0,91000.0,629000.0,762000.0,,,,3400.0,87400.0,625500.0,757000.0,rc_throttle_364,3550.0,1450.0,625.0,land
028-01,initial,6000.0,121000.0,500000.0,592000.0,,,,3000.0,117900.0,497700.0,590100.0,rc_throttle_364,2650.0,750.0,475.0,land
028-02,replacement,,,361000.0,458000.0,,,video started when drone was already over group - check how long drone was in place before video started,3500.0,63900.0,667300.0,766200.0,ascent_m_0,-307250.0,950.0,950.0,home
029-01,initial,,,987000.0,1085000.0,,,video started when drone was already over group - check how long drone was in place before video started,4800.0,78700.0,1086500.0,1184800.0,rc_throttle_364,-99650.0,150.0,150.0,home
029-02,replacement,7000.0,89000.0,1056000.0,1184000.0,,,,3700.0,85900.0,1051400.0,1180900.0,ascent_m_0,3166.6666666666665,1433.3333333332557,425.00000000000136,home
030-01,initial,7000.0,127000.0,1238000.0,1331000.0,,,,11500.0,131100.0,1240900.0,1334100.0,rc_throttle_364,-3600.0,900.0,650.0,launch
030-02,replacement,,69000.0,1121000.0,1207000.0,,,,3700.0,102200.0,1153400.0,1241100.0,ascent_m_0,-33200.0,900.0,566.6666666666666,land
031-032-01,initial,7000.0,49000.0,1190000.0,1287000.0,,,,9600.0,51600.0,1191800.0,1288900.0,rc_throttle_364,-2366.6666666666665,566.6666666667443,375.00000000003956,home
031-032-02,replacement,3000.0,67000.0,1200000.0,1290000.0,,,,5600.0,70900.0,1202300.0,1293100.0,ascent_m_0,-2850.0,1050.0,525.0,gimbal
031-032-03,replacement,10000.0,70000.0,537000.0,675000.0,,,,4400.0,64400.0,532100.0,670600.0,rc_throttle_364,5366.666666666667,966.6666666666279,474.9999999999791,land
033-01,initial,13000.0,161000.0,877000.0,1002000.0,,,,12800.0,161000.0,876100.0,1000900.0,rc_throttle_364,550.0,550.0,450.0,gimbal
033-02,replacement,3000.0,8000.0,812000.0,947000.0,,,,5800.0,11300.0,814600.0,950400.0,ascent_m_0,-3050.0,450.0,325.0,home
034-01,initial,,,1134000.0,1231000.0,,,first gimbal down is before camera was turned on,30100.0,39600.0,1295500.0,1392100.0,rc_throttle_364,-161300.0,200.0,200.0,home
