,observation,species,exchange_num,clip_type,start_flight,start_timestamp,end_flight,end_timestamp,any_resting,any_foraging,any_alert,any_traveling,any_fleeing,group_resting,group_foraging,group_alert,group_traveling,group_fleeing
,ob025,pz,ob025-1,exchange,1,15:40,2,5:03,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob029,imp,ob029-1,exchange,1,14:03,2,4:09,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
,ob031,imp,ob031-1,exchange,1,18:24,2,3:09,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,ob033,pz,ob033-1,exchange,1,12:54,2,3:53,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob039,imp,ob039-1,exchange,1,11:26,2,5:10,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob039,imp,ob039-2,exchange,2,13:50,3,5:45,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob041,buf,ob041-1,exchange,1,15:54,2,3:49,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,ob041,buf,ob041-2,exchange,2,15:51,3,4:32,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
,ob042,imp,ob042-1,exchange,1,18:09,2,3:06,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob047,pz,ob047-1,exchange,1,16:25,2,4:29,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob049,pz,ob049-1,exchange,1,15:56,2,5:30,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob050,imp,ob050-1,exchange,1,15:57,2,5:29,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob050,imp,ob050-2,exchange,2,15:23,3,4:48,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob051,imp,ob051-1,exchange,1,13:58,2,5:35,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
,ob053,gz,ob053-1,exchange,1,19:16,2,3:29,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob055,imp,ob055-1,exchange,1,19:32,2,3:52,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob056,imp,ob056-1,exchange,1,17:06,2,4:25,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob058,imp,ob058-1,exchange,1,17:06,2,4:25,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob059,imp,ob059-1,exchange,1,16:57,2,3:30,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
,ob061,gz,ob061-2,exchange,2,13:07,3,3:57,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob063,imp,ob063-1,exchange,1,17:03,2,4:45,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
