,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 10s,20.5,      1,74,  1.56
1,B,00m 15s,45.9,      1,67,  3.80
2,C,00m 20s,71.9,      1,66,  3.53
3,D,00m 25s,88.5,      1,66,  4.48
4,E,00m 30s,86.5,      1,61,  3.72
5,F,00m 50s,86.0,      178,23,  5.58
6,G,01m 10s,86.0,      226,74,  3.90
7,H,01m 30s,86.1,      223,78,  3.00
8,I,01m 35s,86.0,      223,51,  3.45
9,J,01m 55s,86.2,      209,35,  6.70
10,K,02m 00s,86.2,      209,44,  6.66
11,L,02m 05s,86.2,      209,62,  5.75
12,M,02m 10s,86.0,      208,59,  5.07
13,N,02m 15s,85.8,      208,51,  4.01
14,O,02m 20s,85.8,      208,49,  5.68
15,P,02m 25s,85.8,      208,49,  5.61
16,Q,02m 30s,85.8,      208,48,  5.20
17,R,02m 35s,85.8,      207,47,  5.07
18,S,02m 40s,85.7,      207,41,  4.49
19,T,02m 55s,85.8,      203,50,  5.77
20,U,03m 00s,85.8,      203,53,  5.48
21,V,03m 05s,85.8,      203,45,  5.58
22,W,03m 10s,85.8,      203,44,  5.71
23,X,03m 15s,85.7,      203,42,  5.60
24,Y,03m 20s,85.7,      203,34,  4.96
25,Z,03m 25s,85.7,      203,42,  4.30
26,a,03m 30s,85.8,      203,54,  4.33
27,b,03m 35s,85.9,      203,54,  5.25
28,c,03m 40s,85.9,      203,52,  5.80
29,d,03m 45s,85.8,      203,55,  5.34
30,e,03m 50s,85.8,      203,42,  6.02
31,f,04m 00s,85.7,      196,32,  5.30
32,g,04m 05s,85.7,      196,41,  5.43
33,h,04m 10s,85.7,      196,49,  5.28
34,i,04m 25s,85.7,      191,58,  4.57
35,j,04m 30s,85.7,      191,49,  4.25
36,k,04m 35s,85.7,      191,53,  4.08
37,l,04m 50s,85.9,      202,43,  4.67
38,m,04m 55s,85.9,      202,44,  4.64
39,n,05m 00s,86.0,      202,59,  4.17
40,o,05m 05s,85.9,      202,44,  4.36
41,p,05m 10s,85.9,      202,44,  4.75
42,q,05m 15s,85.9,      202,59,  4.93
43,r,05m 30s,85.9,      208,48,  4.98
44,s,05m 40s,85.7,      208,77,  4.10
45,t,05m 50s,85.8,      208,84,  4.48
46,u,05m 55s,86.0,      208,80,  6.07
47,v,06m 00s,85.9,      208,76,  5.71
48,w,06m 05s,85.8,      208,74,  5.05
49,x,06m 10s,85.9,      208,76,  5.53
50,y,06m 15s,85.8,      208,96,  5.90
51,z,06m 20s,85.8,      209,67,  5.31
52,A,06m 25s,85.8,      209,67,  4.50
53,B,06m 30s,85.8,      209,58,  4.73
54,C,06m 35s,85.8,      209,57,  4.79
55,D,06m 40s,85.8,      209,64,  5.21
56,E,06m 45s,85.9,      209,67,  5.18
57,F,06m 50s,85.9,      209,79,  5.59
58,G,06m 55s,85.8,      209,90,  5.50
59,H,07m 00s,85.7,      209,82,  4.25
60,I,07m 05s,85.7,      209,83,  4.83
61,J,07m 10s,85.8,      209,63,  5.31
62,K,07m 15s,85.8,      209,58,  5.66
63,L,07m 20s,85.8,      209,54,  6.02
64,M,07m 25s,85.7,      209,57,  5.42
65,N,07m 30s,85.7,      209,55,  5.49
66,O,07m 35s,85.7,      209,53,  5.77
67,P,07m 40s,85.8,      209,57,  5.94
68,Q,07m 45s,85.8,      209,59,  5.73
69,R,07m 50s,85.8,      209,64,  6.03
70,S,08m 05s,85.7,      210,65,  5.40
71,T,08m 10s,85.7,      210,59,  5.63
72,U,08m 15s,85.8,      210,57,  5.75
73,V,08m 30s,85.7,      203,58,  4.92
74,W,08m 35s,85.7,      203,71,  5.27
75,X,08m 40s,85.8,      203,69,  5.43
76,Y,08m 50s,85.7,      199,68,  5.24
77,Z,08m 55s,85.7,      198,58,  5.08
78,a,09m 05s,85.8,      194,72,  4.51
79,b,09m 10s,85.7,      195,64,  4.63
80,c,09m 15s,85.7,      195,81,  4.55
81,d,09m 20s,85.8,      195,65,  4.90
82,e,09m 30s,85.8,      190,86,  4.87
83,f,09m 35s,85.8,      190,81,  5.68
84,g,09m 40s,85.8,      190,86,  5.82
85,h,09m 55s,85.7,      185,49,  6.08
86,i,10m 00s,85.8,      184,77,  4.43
87,j,10m 15s,85.7,      175,105,  4.04
88,k,10m 20s,85.8,      176,100,  4.61
89,l,10m 25s,85.8,      176,87,  4.68
90,m,10m 30s,85.8,      176,68,  5.12
91,n,10m 35s,85.8,      176,83,  6.10
92,o,10m 40s,85.8,      175,90,  5.51
93,p,10m 45s,85.8,      176,90,  5.73
94,q,10m 50s,85.8,      173,87,  6.97
95,r,10m 55s,85.7,      172,94,  4.90
96,s,11m 00s,85.7,      173,83,  4.92
97,t,11m 05s,85.7,      172,81,  4.72
98,u,11m 10s,85.7,      172,87,  4.65
99,v,11m 15s,85.5,      171,75,  4.96
100,w,11m 40s,76.0,      157,39,  6.43
101,x,11m 45s,75.9,      157,33,  6.29
102,y,11m 50s,75.9,      157,33,  6.29
103,z,12m 00s,75.7,      157,29,  3.58
104,A,12m 05s,76.0,      157,42,  7.63
