,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 15s,30.0,      0,121,  1.83
1,B,00m 20s,55.1,      0,125,  2.29
2,C,00m 25s,80.3,      0,121,  2.40
3,D,00m 40s,86.1,      131,290,  2.09
4,E,00m 55s,85.7,      246,153,  0.36
5,F,01m 15s,85.8,      357,126,  1.33
6,G,01m 20s,86.0,      378,136,  1.92
7,H,01m 30s,85.9,      394,111,  2.48
8,I,02m 00s,85.7,      439,190,  1.75
9,J,02m 05s,85.8,      475,163,  0.95
10,K,02m 10s,85.8,      507,178,  1.09
11,L,02m 45s,86.0,      589,237,  2.92
12,M,03m 00s,85.9,      575,223,  2.50
13,N,03m 05s,85.9,      575,243,  3.10
14,O,03m 10s,85.8,      575,241,  3.09
15,P,03m 15s,86.0,      575,232,  3.12
16,Q,03m 35s,85.7,      595,231,  2.49
17,R,03m 40s,85.7,      595,237,  2.60
18,S,03m 45s,85.8,      595,237,  3.39
19,T,03m 50s,85.8,      595,233,  2.98
20,U,03m 55s,85.9,      595,231,  2.85
21,V,04m 00s,86.0,      595,227,  2.91
22,W,04m 05s,86.0,      595,225,  2.86
23,X,04m 10s,86.0,      595,225,  2.78
24,Y,04m 15s,86.0,      595,218,  2.66
25,Z,04m 20s,86.0,      595,226,  2.92
26,a,04m 30s,85.9,      605,240,  3.57
27,b,04m 40s,85.9,      605,243,  4.11
28,c,04m 45s,85.9,      605,241,  4.57
29,d,04m 50s,85.9,      605,242,  5.05
30,e,04m 55s,85.9,      605,243,  4.75
31,f,05m 00s,85.9,      605,240,  4.41
32,g,05m 05s,85.9,      604,240,  4.45
33,h,05m 10s,85.9,      605,238,  4.62
34,i,05m 15s,85.9,      605,244,  4.30
35,j,05m 25s,85.8,      592,240,  4.34
36,k,05m 30s,85.9,      592,240,  4.54
37,l,05m 35s,85.9,      592,244,  4.31
38,m,05m 45s,85.9,      587,245,  4.80
39,n,05m 50s,85.8,      587,247,  4.46
40,o,05m 55s,85.8,      587,241,  4.17
41,p,06m 00s,85.8,      587,241,  4.14
42,q,06m 05s,85.8,      587,248,  4.23
43,r,06m 10s,85.9,      587,247,  3.74
44,s,06m 15s,85.8,      587,241,  3.75
45,t,06m 20s,85.9,      587,243,  3.87
46,u,06m 25s,85.8,      587,241,  3.87
47,v,06m 30s,85.9,      587,237,  3.71
48,w,06m 35s,85.9,      587,237,  3.50
49,x,06m 40s,85.9,      587,241,  3.99
50,y,06m 45s,85.9,      587,242,  4.27
51,z,06m 50s,85.8,      587,244,  4.34
52,A,06m 55s,85.9,      587,246,  4.27
53,B,07m 00s,85.9,      587,242,  3.99
54,C,07m 05s,85.8,      587,241,  4.07
55,D,07m 10s,85.8,      587,241,  4.03
56,E,07m 15s,85.8,      587,241,  4.11
57,F,07m 20s,85.8,      587,240,  4.02
58,G,07m 25s,85.8,      587,241,  4.07
59,H,07m 40s,85.8,      569,245,  3.98
60,I,07m 45s,85.8,      569,241,  3.69
